model name	: Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz
Sun Oct 27 14:28:42 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX 108...  On   | 00000000:02:00.0 Off |                  N/A |
| 26%   41C    P2    58W / 250W |    670MiB / 11178MiB |      4%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     12464      C   python3                                      659MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.34, 				 Avg Accumulated loss: 2.34, 				 Precision: 8.59
	 Minibatch 2 / 391, loss: 2.71, 				 Avg Accumulated loss: 2.52, 				 Precision: 14.84
	 Minibatch 3 / 391, loss: 3.93, 				 Avg Accumulated loss: 2.99, 				 Precision: 7.81
	 Minibatch 4 / 391, loss: 3.63, 				 Avg Accumulated loss: 3.15, 				 Precision: 19.53
	 Minibatch 5 / 391, loss: 3.82, 				 Avg Accumulated loss: 3.29, 				 Precision: 16.41
	 Minibatch 6 / 391, loss: 2.72, 				 Avg Accumulated loss: 3.19, 				 Precision: 12.50
	 Minibatch 7 / 391, loss: 3.28, 				 Avg Accumulated loss: 3.20, 				 Precision: 16.41
	 Minibatch 8 / 391, loss: 3.06, 				 Avg Accumulated loss: 3.19, 				 Precision: 12.50
	 Minibatch 9 / 391, loss: 2.63, 				 Avg Accumulated loss: 3.12, 				 Precision: 17.97
	 Minibatch 10 / 391, loss: 2.91, 				 Avg Accumulated loss: 3.10, 				 Precision: 11.72
	 Minibatch 11 / 391, loss: 3.73, 				 Avg Accumulated loss: 3.16, 				 Precision: 13.28
	 Minibatch 12 / 391, loss: 2.70, 				 Avg Accumulated loss: 3.12, 				 Precision: 19.53
	 Minibatch 13 / 391, loss: 2.42, 				 Avg Accumulated loss: 3.07, 				 Precision: 21.09
	 Minibatch 14 / 391, loss: 2.89, 				 Avg Accumulated loss: 3.06, 				 Precision: 18.75
	 Minibatch 15 / 391, loss: 2.17, 				 Avg Accumulated loss: 3.00, 				 Precision: 23.44
	 Minibatch 16 / 391, loss: 2.14, 				 Avg Accumulated loss: 2.94, 				 Precision: 18.75
	 Minibatch 17 / 391, loss: 2.46, 				 Avg Accumulated loss: 2.91, 				 Precision: 18.75
	 Minibatch 18 / 391, loss: 2.67, 				 Avg Accumulated loss: 2.90, 				 Precision: 17.97
	 Minibatch 19 / 391, loss: 2.48, 				 Avg Accumulated loss: 2.88, 				 Precision: 20.31
	 Minibatch 20 / 391, loss: 2.35, 				 Avg Accumulated loss: 2.85, 				 Precision: 16.41
	 Minibatch 21 / 391, loss: 3.03, 				 Avg Accumulated loss: 2.86, 				 Precision: 13.28
	 Minibatch 22 / 391, loss: 2.31, 				 Avg Accumulated loss: 2.84, 				 Precision: 16.41
	 Minibatch 23 / 391, loss: 2.43, 				 Avg Accumulated loss: 2.82, 				 Precision: 21.09
	 Minibatch 24 / 391, loss: 2.15, 				 Avg Accumulated loss: 2.79, 				 Precision: 21.88
	 Minibatch 25 / 391, loss: 2.31, 				 Avg Accumulated loss: 2.77, 				 Precision: 14.06
	 Minibatch 26 / 391, loss: 1.98, 				 Avg Accumulated loss: 2.74, 				 Precision: 20.31
	 Minibatch 27 / 391, loss: 2.27, 				 Avg Accumulated loss: 2.72, 				 Precision: 16.41
	 Minibatch 28 / 391, loss: 2.03, 				 Avg Accumulated loss: 2.70, 				 Precision: 18.75
	 Minibatch 29 / 391, loss: 2.26, 				 Avg Accumulated loss: 2.68, 				 Precision: 17.19
	 Minibatch 30 / 391, loss: 2.16, 				 Avg Accumulated loss: 2.67, 				 Precision: 17.19
	 Minibatch 31 / 391, loss: 2.37, 				 Avg Accumulated loss: 2.66, 				 Precision: 22.66
	 Minibatch 32 / 391, loss: 2.05, 				 Avg Accumulated loss: 2.64, 				 Precision: 28.12
	 Minibatch 33 / 391, loss: 2.03, 				 Avg Accumulated loss: 2.62, 				 Precision: 21.09
	 Minibatch 34 / 391, loss: 2.13, 				 Avg Accumulated loss: 2.60, 				 Precision: 21.09
	 Minibatch 35 / 391, loss: 2.09, 				 Avg Accumulated loss: 2.59, 				 Precision: 26.56
	 Minibatch 36 / 391, loss: 2.07, 				 Avg Accumulated loss: 2.58, 				 Precision: 23.44
	 Minibatch 37 / 391, loss: 1.90, 				 Avg Accumulated loss: 2.56, 				 Precision: 25.00
	 Minibatch 38 / 391, loss: 2.10, 				 Avg Accumulated loss: 2.55, 				 Precision: 24.22
	 Minibatch 39 / 391, loss: 2.40, 				 Avg Accumulated loss: 2.54, 				 Precision: 21.88
	 Minibatch 40 / 391, loss: 1.97, 				 Avg Accumulated loss: 2.53, 				 Precision: 29.69
	 Minibatch 41 / 391, loss: 1.97, 				 Avg Accumulated loss: 2.51, 				 Precision: 17.97
	 Minibatch 42 / 391, loss: 1.96, 				 Avg Accumulated loss: 2.50, 				 Precision: 29.69
