model name	: Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz
Sun Oct 27 14:28:37 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX TIT...  On   | 00000000:02:00.0 Off |                  N/A |
| 34%   51C    P2    97W / 250W |    383MiB /  6083MiB |      8%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     14600      C   python3                                      370MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.61, 				 Avg Accumulated loss: 2.61, 				 Precision: 11.72
	 Minibatch 2 / 391, loss: 4.03, 				 Avg Accumulated loss: 3.32, 				 Precision: 8.59
	 Minibatch 3 / 391, loss: 4.24, 				 Avg Accumulated loss: 3.63, 				 Precision: 20.31
	 Minibatch 4 / 391, loss: 4.07, 				 Avg Accumulated loss: 3.74, 				 Precision: 13.28
	 Minibatch 5 / 391, loss: 4.28, 				 Avg Accumulated loss: 3.85, 				 Precision: 9.38
	 Minibatch 6 / 391, loss: 3.45, 				 Avg Accumulated loss: 3.78, 				 Precision: 9.38
	 Minibatch 7 / 391, loss: 3.02, 				 Avg Accumulated loss: 3.67, 				 Precision: 10.94
	 Minibatch 8 / 391, loss: 2.40, 				 Avg Accumulated loss: 3.51, 				 Precision: 14.84
	 Minibatch 9 / 391, loss: 4.16, 				 Avg Accumulated loss: 3.59, 				 Precision: 10.16
	 Minibatch 10 / 391, loss: 4.01, 				 Avg Accumulated loss: 3.63, 				 Precision: 11.72
	 Minibatch 11 / 391, loss: 3.32, 				 Avg Accumulated loss: 3.60, 				 Precision: 14.06
	 Minibatch 12 / 391, loss: 2.64, 				 Avg Accumulated loss: 3.52, 				 Precision: 7.03
	 Minibatch 13 / 391, loss: 3.25, 				 Avg Accumulated loss: 3.50, 				 Precision: 8.59
	 Minibatch 14 / 391, loss: 3.11, 				 Avg Accumulated loss: 3.47, 				 Precision: 11.72
	 Minibatch 15 / 391, loss: 2.31, 				 Avg Accumulated loss: 3.39, 				 Precision: 12.50
	 Minibatch 16 / 391, loss: 2.90, 				 Avg Accumulated loss: 3.36, 				 Precision: 22.66
	 Minibatch 17 / 391, loss: 2.43, 				 Avg Accumulated loss: 3.31, 				 Precision: 10.94
	 Minibatch 18 / 391, loss: 2.15, 				 Avg Accumulated loss: 3.24, 				 Precision: 20.31
	 Minibatch 19 / 391, loss: 2.47, 				 Avg Accumulated loss: 3.20, 				 Precision: 11.72
	 Minibatch 20 / 391, loss: 2.34, 				 Avg Accumulated loss: 3.16, 				 Precision: 14.06
	 Minibatch 21 / 391, loss: 2.46, 				 Avg Accumulated loss: 3.13, 				 Precision: 15.62
	 Minibatch 22 / 391, loss: 2.24, 				 Avg Accumulated loss: 3.09, 				 Precision: 17.19
	 Minibatch 23 / 391, loss: 2.17, 				 Avg Accumulated loss: 3.05, 				 Precision: 21.88
	 Minibatch 24 / 391, loss: 2.70, 				 Avg Accumulated loss: 3.03, 				 Precision: 10.94
	 Minibatch 25 / 391, loss: 2.40, 				 Avg Accumulated loss: 3.01, 				 Precision: 22.66
	 Minibatch 26 / 391, loss: 3.12, 				 Avg Accumulated loss: 3.01, 				 Precision: 17.19
	 Minibatch 27 / 391, loss: 2.28, 				 Avg Accumulated loss: 2.98, 				 Precision: 25.00
	 Minibatch 28 / 391, loss: 2.26, 				 Avg Accumulated loss: 2.96, 				 Precision: 15.62
	 Minibatch 29 / 391, loss: 2.22, 				 Avg Accumulated loss: 2.93, 				 Precision: 14.84
	 Minibatch 30 / 391, loss: 2.11, 				 Avg Accumulated loss: 2.91, 				 Precision: 17.97
	 Minibatch 31 / 391, loss: 2.86, 				 Avg Accumulated loss: 2.90, 				 Precision: 19.53
	 Minibatch 32 / 391, loss: 2.25, 				 Avg Accumulated loss: 2.88, 				 Precision: 22.66
	 Minibatch 33 / 391, loss: 2.05, 				 Avg Accumulated loss: 2.86, 				 Precision: 19.53
	 Minibatch 34 / 391, loss: 2.10, 				 Avg Accumulated loss: 2.84, 				 Precision: 22.66
