model name	: Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz
Sun Oct 27 14:31:43 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  TITAN Xp            On   | 00000000:02:00.0 Off |                  N/A |
| 51%   75C    P2    69W / 250W |    682MiB / 12196MiB |      4%      Default |
+-------------------------------+----------------------+----------------------+
|   1  TITAN Xp            On   | 00000000:84:00.0 Off |                  N/A |
| 23%   28C    P8     9W / 250W |      1MiB / 12196MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     29066      C   python3                                      671MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.32, 				 Avg Accumulated loss: 2.32, 				 Precision: 14.84
	 Minibatch 2 / 391, loss: 2.96, 				 Avg Accumulated loss: 2.64, 				 Precision: 11.72
	 Minibatch 3 / 391, loss: 3.02, 				 Avg Accumulated loss: 2.77, 				 Precision: 17.19
	 Minibatch 4 / 391, loss: 6.28, 				 Avg Accumulated loss: 3.64, 				 Precision: 4.69
	 Minibatch 5 / 391, loss: 4.66, 				 Avg Accumulated loss: 3.85, 				 Precision: 19.53
	 Minibatch 6 / 391, loss: 7.94, 				 Avg Accumulated loss: 4.53, 				 Precision: 6.25
	 Minibatch 7 / 391, loss: 11.32, 				 Avg Accumulated loss: 5.50, 				 Precision: 14.06
	 Minibatch 8 / 391, loss: 20.25, 				 Avg Accumulated loss: 7.34, 				 Precision: 6.25
	 Minibatch 9 / 391, loss: 15.97, 				 Avg Accumulated loss: 8.30, 				 Precision: 13.28
	 Minibatch 10 / 391, loss: 10.73, 				 Avg Accumulated loss: 8.54, 				 Precision: 7.03
	 Minibatch 11 / 391, loss: 15.03, 				 Avg Accumulated loss: 9.13, 				 Precision: 10.16
	 Minibatch 12 / 391, loss: 9.54, 				 Avg Accumulated loss: 9.17, 				 Precision: 10.16
