model name	: Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz
Sun Oct 27 14:28:41 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX TIT...  On   | 00000000:02:00.0 Off |                  N/A |
| 22%   51C    P2    71W / 250W |    588MiB / 12212MiB |      5%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     13309      C   python3                                      576MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.36, 				 Avg Accumulated loss: 2.36, 				 Precision: 12.50
	 Minibatch 2 / 391, loss: 2.80, 				 Avg Accumulated loss: 2.58, 				 Precision: 5.47
	 Minibatch 3 / 391, loss: 3.88, 				 Avg Accumulated loss: 3.01, 				 Precision: 17.19
	 Minibatch 4 / 391, loss: 4.13, 				 Avg Accumulated loss: 3.29, 				 Precision: 17.97
	 Minibatch 5 / 391, loss: 7.39, 				 Avg Accumulated loss: 4.11, 				 Precision: 11.72
	 Minibatch 6 / 391, loss: 5.75, 				 Avg Accumulated loss: 4.39, 				 Precision: 13.28
	 Minibatch 7 / 391, loss: 8.35, 				 Avg Accumulated loss: 4.95, 				 Precision: 14.84
	 Minibatch 8 / 391, loss: 7.82, 				 Avg Accumulated loss: 5.31, 				 Precision: 10.94
	 Minibatch 9 / 391, loss: 6.65, 				 Avg Accumulated loss: 5.46, 				 Precision: 4.69
	 Minibatch 10 / 391, loss: 8.49, 				 Avg Accumulated loss: 5.76, 				 Precision: 9.38
	 Minibatch 11 / 391, loss: 6.13, 				 Avg Accumulated loss: 5.80, 				 Precision: 7.81
	 Minibatch 12 / 391, loss: 4.52, 				 Avg Accumulated loss: 5.69, 				 Precision: 10.94
	 Minibatch 13 / 391, loss: 5.08, 				 Avg Accumulated loss: 5.64, 				 Precision: 8.59
	 Minibatch 14 / 391, loss: 3.52, 				 Avg Accumulated loss: 5.49, 				 Precision: 9.38
	 Minibatch 15 / 391, loss: 3.56, 				 Avg Accumulated loss: 5.36, 				 Precision: 14.06
	 Minibatch 16 / 391, loss: 4.52, 				 Avg Accumulated loss: 5.31, 				 Precision: 8.59
	 Minibatch 17 / 391, loss: 3.48, 				 Avg Accumulated loss: 5.20, 				 Precision: 13.28
	 Minibatch 18 / 391, loss: 2.43, 				 Avg Accumulated loss: 5.05, 				 Precision: 14.84
	 Minibatch 19 / 391, loss: 2.42, 				 Avg Accumulated loss: 4.91, 				 Precision: 17.97
	 Minibatch 20 / 391, loss: 2.56, 				 Avg Accumulated loss: 4.79, 				 Precision: 12.50
	 Minibatch 21 / 391, loss: 2.60, 				 Avg Accumulated loss: 4.69, 				 Precision: 6.25
	 Minibatch 22 / 391, loss: 2.35, 				 Avg Accumulated loss: 4.58, 				 Precision: 9.38
	 Minibatch 23 / 391, loss: 2.81, 				 Avg Accumulated loss: 4.51, 				 Precision: 7.81
	 Minibatch 24 / 391, loss: 2.45, 				 Avg Accumulated loss: 4.42, 				 Precision: 16.41
	 Minibatch 25 / 391, loss: 3.35, 				 Avg Accumulated loss: 4.38, 				 Precision: 10.16
	 Minibatch 26 / 391, loss: 2.34, 				 Avg Accumulated loss: 4.30, 				 Precision: 16.41
	 Minibatch 27 / 391, loss: 2.26, 				 Avg Accumulated loss: 4.22, 				 Precision: 14.06
	 Minibatch 28 / 391, loss: 2.89, 				 Avg Accumulated loss: 4.18, 				 Precision: 14.06
	 Minibatch 29 / 391, loss: 2.71, 				 Avg Accumulated loss: 4.13, 				 Precision: 10.16
	 Minibatch 30 / 391, loss: 2.77, 				 Avg Accumulated loss: 4.08, 				 Precision: 8.59
	 Minibatch 31 / 391, loss: 2.46, 				 Avg Accumulated loss: 4.03, 				 Precision: 11.72
	 Minibatch 32 / 391, loss: 2.32, 				 Avg Accumulated loss: 3.97, 				 Precision: 12.50
	 Minibatch 33 / 391, loss: 2.22, 				 Avg Accumulated loss: 3.92, 				 Precision: 16.41
	 Minibatch 34 / 391, loss: 3.03, 				 Avg Accumulated loss: 3.90, 				 Precision: 15.62
	 Minibatch 35 / 391, loss: 2.93, 				 Avg Accumulated loss: 3.87, 				 Precision: 14.84
	 Minibatch 36 / 391, loss: 2.60, 				 Avg Accumulated loss: 3.83, 				 Precision: 10.16
	 Minibatch 37 / 391, loss: 2.61, 				 Avg Accumulated loss: 3.80, 				 Precision: 7.03
	 Minibatch 38 / 391, loss: 2.55, 				 Avg Accumulated loss: 3.77, 				 Precision: 14.06
	 Minibatch 39 / 391, loss: 2.40, 				 Avg Accumulated loss: 3.73, 				 Precision: 13.28
	 Minibatch 40 / 391, loss: 2.73, 				 Avg Accumulated loss: 3.71, 				 Precision: 13.28
	 Minibatch 41 / 391, loss: 2.44, 				 Avg Accumulated loss: 3.68, 				 Precision: 12.50
	 Minibatch 42 / 391, loss: 2.58, 				 Avg Accumulated loss: 3.65, 				 Precision: 17.97
	 Minibatch 43 / 391, loss: 2.37, 				 Avg Accumulated loss: 3.62, 				 Precision: 15.62
	 Minibatch 44 / 391, loss: 2.25, 				 Avg Accumulated loss: 3.59, 				 Precision: 14.84
	 Minibatch 45 / 391, loss: 2.37, 				 Avg Accumulated loss: 3.56, 				 Precision: 12.50
	 Minibatch 46 / 391, loss: 2.57, 				 Avg Accumulated loss: 3.54, 				 Precision: 10.94
	 Minibatch 47 / 391, loss: 2.33, 				 Avg Accumulated loss: 3.51, 				 Precision: 13.28
	 Minibatch 48 / 391, loss: 2.20, 				 Avg Accumulated loss: 3.49, 				 Precision: 21.09
	 Minibatch 49 / 391, loss: 2.63, 				 Avg Accumulated loss: 3.47, 				 Precision: 13.28
	 Minibatch 50 / 391, loss: 2.27, 				 Avg Accumulated loss: 3.45, 				 Precision: 12.50
	 Minibatch 51 / 391, loss: 2.20, 				 Avg Accumulated loss: 3.42, 				 Precision: 19.53
	 Minibatch 52 / 391, loss: 2.13, 				 Avg Accumulated loss: 3.40, 				 Precision: 20.31
	 Minibatch 53 / 391, loss: 2.27, 				 Avg Accumulated loss: 3.37, 				 Precision: 12.50
	 Minibatch 54 / 391, loss: 2.16, 				 Avg Accumulated loss: 3.35, 				 Precision: 17.97
	 Minibatch 55 / 391, loss: 2.18, 				 Avg Accumulated loss: 3.33, 				 Precision: 17.19
	 Minibatch 56 / 391, loss: 2.11, 				 Avg Accumulated loss: 3.31, 				 Precision: 23.44
