model name	: Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz
Sun Oct 27 14:28:35 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX TIT...  On   | 00000000:02:00.0 Off |                  N/A |
| 22%   46C    P8    16W / 250W |      1MiB / 12212MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.33, 				 Avg Accumulated loss: 2.33, 				 Precision: 11.72
	 Minibatch 2 / 391, loss: 2.76, 				 Avg Accumulated loss: 2.55, 				 Precision: 13.28
	 Minibatch 3 / 391, loss: 3.02, 				 Avg Accumulated loss: 2.70, 				 Precision: 19.53
	 Minibatch 4 / 391, loss: 3.02, 				 Avg Accumulated loss: 2.78, 				 Precision: 9.38
	 Minibatch 5 / 391, loss: 3.26, 				 Avg Accumulated loss: 2.88, 				 Precision: 11.72
	 Minibatch 6 / 391, loss: 2.95, 				 Avg Accumulated loss: 2.89, 				 Precision: 10.94
	 Minibatch 7 / 391, loss: 2.84, 				 Avg Accumulated loss: 2.88, 				 Precision: 19.53
	 Minibatch 8 / 391, loss: 3.44, 				 Avg Accumulated loss: 2.95, 				 Precision: 18.75
	 Minibatch 9 / 391, loss: 3.77, 				 Avg Accumulated loss: 3.04, 				 Precision: 11.72
	 Minibatch 10 / 391, loss: 4.46, 				 Avg Accumulated loss: 3.18, 				 Precision: 14.84
	 Minibatch 11 / 391, loss: 3.70, 				 Avg Accumulated loss: 3.23, 				 Precision: 8.59
	 Minibatch 12 / 391, loss: 3.77, 				 Avg Accumulated loss: 3.28, 				 Precision: 8.59
	 Minibatch 13 / 391, loss: 3.32, 				 Avg Accumulated loss: 3.28, 				 Precision: 13.28
	 Minibatch 14 / 391, loss: 3.65, 				 Avg Accumulated loss: 3.30, 				 Precision: 8.59
	 Minibatch 15 / 391, loss: 2.84, 				 Avg Accumulated loss: 3.27, 				 Precision: 13.28
	 Minibatch 16 / 391, loss: 2.83, 				 Avg Accumulated loss: 3.25, 				 Precision: 17.19
	 Minibatch 17 / 391, loss: 2.98, 				 Avg Accumulated loss: 3.23, 				 Precision: 17.97
