model name	: Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz
Sun Oct 27 14:28:41 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX TIT...  On   | 00000000:02:00.0 Off |                  N/A |
| 22%   49C    P2    71W / 250W |    588MiB / 12212MiB |      6%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     26772      C   python3                                      576MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.36, 				 Avg Accumulated loss: 2.36, 				 Precision: 7.81
	 Minibatch 2 / 391, loss: 2.73, 				 Avg Accumulated loss: 2.55, 				 Precision: 14.84
	 Minibatch 3 / 391, loss: 4.35, 				 Avg Accumulated loss: 3.15, 				 Precision: 14.06
	 Minibatch 4 / 391, loss: 6.56, 				 Avg Accumulated loss: 4.00, 				 Precision: 14.06
	 Minibatch 5 / 391, loss: 6.07, 				 Avg Accumulated loss: 4.41, 				 Precision: 10.16
	 Minibatch 6 / 391, loss: 5.10, 				 Avg Accumulated loss: 4.53, 				 Precision: 11.72
	 Minibatch 7 / 391, loss: 5.20, 				 Avg Accumulated loss: 4.62, 				 Precision: 14.84
	 Minibatch 8 / 391, loss: 5.69, 				 Avg Accumulated loss: 4.76, 				 Precision: 17.19
	 Minibatch 9 / 391, loss: 2.87, 				 Avg Accumulated loss: 4.55, 				 Precision: 12.50
	 Minibatch 10 / 391, loss: 3.90, 				 Avg Accumulated loss: 4.48, 				 Precision: 13.28
	 Minibatch 11 / 391, loss: 5.74, 				 Avg Accumulated loss: 4.60, 				 Precision: 7.81
	 Minibatch 12 / 391, loss: 5.24, 				 Avg Accumulated loss: 4.65, 				 Precision: 15.62
	 Minibatch 13 / 391, loss: 3.68, 				 Avg Accumulated loss: 4.58, 				 Precision: 10.94
	 Minibatch 14 / 391, loss: 2.73, 				 Avg Accumulated loss: 4.44, 				 Precision: 16.41
	 Minibatch 15 / 391, loss: 3.50, 				 Avg Accumulated loss: 4.38, 				 Precision: 12.50
	 Minibatch 16 / 391, loss: 2.60, 				 Avg Accumulated loss: 4.27, 				 Precision: 9.38
	 Minibatch 17 / 391, loss: 4.83, 				 Avg Accumulated loss: 4.30, 				 Precision: 7.03
	 Minibatch 18 / 391, loss: 3.59, 				 Avg Accumulated loss: 4.26, 				 Precision: 14.84
	 Minibatch 19 / 391, loss: 3.05, 				 Avg Accumulated loss: 4.20, 				 Precision: 7.03
	 Minibatch 20 / 391, loss: 2.84, 				 Avg Accumulated loss: 4.13, 				 Precision: 15.62
	 Minibatch 21 / 391, loss: 4.70, 				 Avg Accumulated loss: 4.16, 				 Precision: 12.50
	 Minibatch 22 / 391, loss: 2.88, 				 Avg Accumulated loss: 4.10, 				 Precision: 14.06
	 Minibatch 23 / 391, loss: 2.65, 				 Avg Accumulated loss: 4.04, 				 Precision: 5.47
	 Minibatch 24 / 391, loss: 5.32, 				 Avg Accumulated loss: 4.09, 				 Precision: 10.94
	 Minibatch 25 / 391, loss: 3.55, 				 Avg Accumulated loss: 4.07, 				 Precision: 13.28
	 Minibatch 26 / 391, loss: 4.06, 				 Avg Accumulated loss: 4.07, 				 Precision: 8.59
	 Minibatch 27 / 391, loss: 4.24, 				 Avg Accumulated loss: 4.08, 				 Precision: 7.81
	 Minibatch 28 / 391, loss: 2.79, 				 Avg Accumulated loss: 4.03, 				 Precision: 10.94
	 Minibatch 29 / 391, loss: 3.98, 				 Avg Accumulated loss: 4.03, 				 Precision: 11.72
	 Minibatch 30 / 391, loss: 2.49, 				 Avg Accumulated loss: 3.98, 				 Precision: 14.84
	 Minibatch 31 / 391, loss: 3.54, 				 Avg Accumulated loss: 3.96, 				 Precision: 7.03
	 Minibatch 32 / 391, loss: 3.38, 				 Avg Accumulated loss: 3.94, 				 Precision: 10.94
	 Minibatch 33 / 391, loss: 2.54, 				 Avg Accumulated loss: 3.90, 				 Precision: 11.72
	 Minibatch 34 / 391, loss: 2.81, 				 Avg Accumulated loss: 3.87, 				 Precision: 17.97
	 Minibatch 35 / 391, loss: 2.70, 				 Avg Accumulated loss: 3.84, 				 Precision: 16.41
	 Minibatch 36 / 391, loss: 2.56, 				 Avg Accumulated loss: 3.80, 				 Precision: 17.97
