model name	: Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz
Sun Oct 27 14:28:42 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.67       Driver Version: 418.67       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla K20Xm         On   | 00000000:02:00.0 Off |                  Off |
| N/A   25C    P0    58W / 235W |    377MiB /  6083MiB |      8%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     28308      C   python3                                      366MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.45, 				 Avg Accumulated loss: 2.45, 				 Precision: 13.28
	 Minibatch 2 / 391, loss: 5.02, 				 Avg Accumulated loss: 3.73, 				 Precision: 9.38
	 Minibatch 3 / 391, loss: 8.11, 				 Avg Accumulated loss: 5.19, 				 Precision: 20.31
	 Minibatch 4 / 391, loss: 6.19, 				 Avg Accumulated loss: 5.44, 				 Precision: 11.72
	 Minibatch 5 / 391, loss: 8.78, 				 Avg Accumulated loss: 6.11, 				 Precision: 8.59
	 Minibatch 6 / 391, loss: 6.52, 				 Avg Accumulated loss: 6.18, 				 Precision: 7.81
	 Minibatch 7 / 391, loss: 5.51, 				 Avg Accumulated loss: 6.08, 				 Precision: 10.94
	 Minibatch 8 / 391, loss: 4.63, 				 Avg Accumulated loss: 5.90, 				 Precision: 10.94
	 Minibatch 9 / 391, loss: 3.51, 				 Avg Accumulated loss: 5.64, 				 Precision: 10.16
	 Minibatch 10 / 391, loss: 3.50, 				 Avg Accumulated loss: 5.42, 				 Precision: 12.50
	 Minibatch 11 / 391, loss: 3.44, 				 Avg Accumulated loss: 5.24, 				 Precision: 10.16
	 Minibatch 12 / 391, loss: 3.81, 				 Avg Accumulated loss: 5.12, 				 Precision: 7.81
	 Minibatch 13 / 391, loss: 2.91, 				 Avg Accumulated loss: 4.95, 				 Precision: 7.81
	 Minibatch 14 / 391, loss: 3.09, 				 Avg Accumulated loss: 4.82, 				 Precision: 11.72
	 Minibatch 15 / 391, loss: 2.64, 				 Avg Accumulated loss: 4.67, 				 Precision: 13.28
	 Minibatch 16 / 391, loss: 2.88, 				 Avg Accumulated loss: 4.56, 				 Precision: 10.16
	 Minibatch 17 / 391, loss: 2.83, 				 Avg Accumulated loss: 4.46, 				 Precision: 12.50
	 Minibatch 18 / 391, loss: 2.59, 				 Avg Accumulated loss: 4.36, 				 Precision: 11.72
	 Minibatch 19 / 391, loss: 2.37, 				 Avg Accumulated loss: 4.25, 				 Precision: 9.38
	 Minibatch 20 / 391, loss: 2.66, 				 Avg Accumulated loss: 4.17, 				 Precision: 10.94
	 Minibatch 21 / 391, loss: 2.41, 				 Avg Accumulated loss: 4.09, 				 Precision: 10.16
	 Minibatch 22 / 391, loss: 2.44, 				 Avg Accumulated loss: 4.01, 				 Precision: 10.94
	 Minibatch 23 / 391, loss: 2.29, 				 Avg Accumulated loss: 3.94, 				 Precision: 15.62
	 Minibatch 24 / 391, loss: 2.44, 				 Avg Accumulated loss: 3.88, 				 Precision: 10.94
	 Minibatch 25 / 391, loss: 2.90, 				 Avg Accumulated loss: 3.84, 				 Precision: 9.38
	 Minibatch 26 / 391, loss: 2.32, 				 Avg Accumulated loss: 3.78, 				 Precision: 9.38
	 Minibatch 27 / 391, loss: 2.37, 				 Avg Accumulated loss: 3.73, 				 Precision: 12.50
	 Minibatch 28 / 391, loss: 2.35, 				 Avg Accumulated loss: 3.68, 				 Precision: 13.28
	 Minibatch 29 / 391, loss: 2.33, 				 Avg Accumulated loss: 3.63, 				 Precision: 14.06
	 Minibatch 30 / 391, loss: 2.33, 				 Avg Accumulated loss: 3.59, 				 Precision: 12.50
	 Minibatch 31 / 391, loss: 2.34, 				 Avg Accumulated loss: 3.55, 				 Precision: 14.84
	 Minibatch 32 / 391, loss: 2.74, 				 Avg Accumulated loss: 3.52, 				 Precision: 12.50
	 Minibatch 33 / 391, loss: 2.37, 				 Avg Accumulated loss: 3.49, 				 Precision: 11.72
	 Minibatch 34 / 391, loss: 2.32, 				 Avg Accumulated loss: 3.45, 				 Precision: 10.16
	 Minibatch 35 / 391, loss: 2.41, 				 Avg Accumulated loss: 3.42, 				 Precision: 11.72
	 Minibatch 36 / 391, loss: 2.40, 				 Avg Accumulated loss: 3.39, 				 Precision: 12.50
	 Minibatch 37 / 391, loss: 2.35, 				 Avg Accumulated loss: 3.37, 				 Precision: 9.38
	 Minibatch 38 / 391, loss: 2.37, 				 Avg Accumulated loss: 3.34, 				 Precision: 10.16
	 Minibatch 39 / 391, loss: 2.30, 				 Avg Accumulated loss: 3.31, 				 Precision: 15.62
	 Minibatch 40 / 391, loss: 2.32, 				 Avg Accumulated loss: 3.29, 				 Precision: 12.50
	 Minibatch 41 / 391, loss: 2.30, 				 Avg Accumulated loss: 3.26, 				 Precision: 11.72
	 Minibatch 42 / 391, loss: 2.34, 				 Avg Accumulated loss: 3.24, 				 Precision: 13.28
	 Minibatch 43 / 391, loss: 2.33, 				 Avg Accumulated loss: 3.22, 				 Precision: 8.59
	 Minibatch 44 / 391, loss: 2.41, 				 Avg Accumulated loss: 3.20, 				 Precision: 11.72
	 Minibatch 45 / 391, loss: 2.40, 				 Avg Accumulated loss: 3.19, 				 Precision: 10.94
	 Minibatch 46 / 391, loss: 2.36, 				 Avg Accumulated loss: 3.17, 				 Precision: 7.81
	 Minibatch 47 / 391, loss: 2.34, 				 Avg Accumulated loss: 3.15, 				 Precision: 13.28
	 Minibatch 48 / 391, loss: 2.32, 				 Avg Accumulated loss: 3.13, 				 Precision: 7.81
	 Minibatch 49 / 391, loss: 2.34, 				 Avg Accumulated loss: 3.12, 				 Precision: 16.41
	 Minibatch 50 / 391, loss: 2.30, 				 Avg Accumulated loss: 3.10, 				 Precision: 15.62
	 Minibatch 51 / 391, loss: 2.27, 				 Avg Accumulated loss: 3.08, 				 Precision: 17.97
	 Minibatch 52 / 391, loss: 2.39, 				 Avg Accumulated loss: 3.07, 				 Precision: 7.81
	 Minibatch 53 / 391, loss: 2.36, 				 Avg Accumulated loss: 3.06, 				 Precision: 9.38
	 Minibatch 54 / 391, loss: 2.33, 				 Avg Accumulated loss: 3.04, 				 Precision: 14.06
	 Minibatch 55 / 391, loss: 2.29, 				 Avg Accumulated loss: 3.03, 				 Precision: 12.50
	 Minibatch 56 / 391, loss: 2.39, 				 Avg Accumulated loss: 3.02, 				 Precision: 6.25
	 Minibatch 57 / 391, loss: 2.33, 				 Avg Accumulated loss: 3.01, 				 Precision: 10.16
	 Minibatch 58 / 391, loss: 2.27, 				 Avg Accumulated loss: 2.99, 				 Precision: 12.50
	 Minibatch 59 / 391, loss: 2.27, 				 Avg Accumulated loss: 2.98, 				 Precision: 14.06
	 Minibatch 60 / 391, loss: 2.31, 				 Avg Accumulated loss: 2.97, 				 Precision: 13.28
	 Minibatch 61 / 391, loss: 2.33, 				 Avg Accumulated loss: 2.96, 				 Precision: 10.94
	 Minibatch 62 / 391, loss: 2.31, 				 Avg Accumulated loss: 2.95, 				 Precision: 14.84
	 Minibatch 63 / 391, loss: 2.20, 				 Avg Accumulated loss: 2.94, 				 Precision: 24.22
	 Minibatch 64 / 391, loss: 2.23, 				 Avg Accumulated loss: 2.93, 				 Precision: 20.31
	 Minibatch 65 / 391, loss: 2.26, 				 Avg Accumulated loss: 2.92, 				 Precision: 11.72
	 Minibatch 66 / 391, loss: 2.28, 				 Avg Accumulated loss: 2.91, 				 Precision: 17.97
	 Minibatch 67 / 391, loss: 2.22, 				 Avg Accumulated loss: 2.90, 				 Precision: 17.19
	 Minibatch 68 / 391, loss: 2.21, 				 Avg Accumulated loss: 2.89, 				 Precision: 18.75
	 Minibatch 69 / 391, loss: 2.19, 				 Avg Accumulated loss: 2.88, 				 Precision: 17.19
	 Minibatch 70 / 391, loss: 2.17, 				 Avg Accumulated loss: 2.87, 				 Precision: 17.97
	 Minibatch 71 / 391, loss: 2.10, 				 Avg Accumulated loss: 2.86, 				 Precision: 19.53
	 Minibatch 72 / 391, loss: 2.10, 				 Avg Accumulated loss: 2.84, 				 Precision: 20.31
	 Minibatch 73 / 391, loss: 2.18, 				 Avg Accumulated loss: 2.84, 				 Precision: 16.41
	 Minibatch 74 / 391, loss: 2.16, 				 Avg Accumulated loss: 2.83, 				 Precision: 16.41
	 Minibatch 75 / 391, loss: 2.09, 				 Avg Accumulated loss: 2.82, 				 Precision: 17.97
	 Minibatch 76 / 391, loss: 2.25, 				 Avg Accumulated loss: 2.81, 				 Precision: 14.06
	 Minibatch 77 / 391, loss: 2.14, 				 Avg Accumulated loss: 2.80, 				 Precision: 18.75
	 Minibatch 78 / 391, loss: 2.15, 				 Avg Accumulated loss: 2.79, 				 Precision: 19.53
	 Minibatch 79 / 391, loss: 2.12, 				 Avg Accumulated loss: 2.78, 				 Precision: 17.97
	 Minibatch 80 / 391, loss: 2.12, 				 Avg Accumulated loss: 2.78, 				 Precision: 19.53
	 Minibatch 81 / 391, loss: 2.10, 				 Avg Accumulated loss: 2.77, 				 Precision: 20.31
	 Minibatch 82 / 391, loss: 2.08, 				 Avg Accumulated loss: 2.76, 				 Precision: 22.66
	 Minibatch 83 / 391, loss: 2.07, 				 Avg Accumulated loss: 2.75, 				 Precision: 16.41
	 Minibatch 84 / 391, loss: 2.12, 				 Avg Accumulated loss: 2.74, 				 Precision: 18.75
	 Minibatch 85 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.73, 				 Precision: 14.06
	 Minibatch 86 / 391, loss: 2.05, 				 Avg Accumulated loss: 2.73, 				 Precision: 21.88
	 Minibatch 87 / 391, loss: 1.99, 				 Avg Accumulated loss: 2.72, 				 Precision: 15.62
	 Minibatch 88 / 391, loss: 2.02, 				 Avg Accumulated loss: 2.71, 				 Precision: 17.97
	 Minibatch 89 / 391, loss: 2.07, 				 Avg Accumulated loss: 2.70, 				 Precision: 14.84
	 Minibatch 90 / 391, loss: 2.09, 				 Avg Accumulated loss: 2.70, 				 Precision: 21.09
	 Minibatch 91 / 391, loss: 2.13, 				 Avg Accumulated loss: 2.69, 				 Precision: 24.22
	 Minibatch 92 / 391, loss: 2.07, 				 Avg Accumulated loss: 2.68, 				 Precision: 22.66
	 Minibatch 93 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.68, 				 Precision: 17.19
	 Minibatch 94 / 391, loss: 2.09, 				 Avg Accumulated loss: 2.67, 				 Precision: 21.09
	 Minibatch 95 / 391, loss: 2.05, 				 Avg Accumulated loss: 2.66, 				 Precision: 22.66
	 Minibatch 96 / 391, loss: 2.13, 				 Avg Accumulated loss: 2.66, 				 Precision: 19.53
	 Minibatch 97 / 391, loss: 2.18, 				 Avg Accumulated loss: 2.65, 				 Precision: 14.84
	 Minibatch 98 / 391, loss: 2.18, 				 Avg Accumulated loss: 2.65, 				 Precision: 19.53
	 Minibatch 99 / 391, loss: 2.10, 				 Avg Accumulated loss: 2.64, 				 Precision: 22.66
	 Minibatch 100 / 391, loss: 2.09, 				 Avg Accumulated loss: 2.64, 				 Precision: 17.97
	 Minibatch 101 / 391, loss: 2.12, 				 Avg Accumulated loss: 2.63, 				 Precision: 22.66
	 Minibatch 102 / 391, loss: 2.11, 				 Avg Accumulated loss: 2.63, 				 Precision: 21.09
