model name	: Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz
Sun Oct 27 14:28:44 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX TIT...  On   | 00000000:02:00.0 Off |                  N/A |
| 22%   51C    P2    70W / 250W |    588MiB / 12212MiB |      5%      Default |
+-------------------------------+----------------------+----------------------+
|   1  GeForce GTX TIT...  On   | 00000000:83:00.0 Off |                  N/A |
| 22%   31C    P8    16W / 250W |      1MiB / 12212MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     30487      C   python3                                      576MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.45, 				 Avg Accumulated loss: 2.45, 				 Precision: 10.16
	 Minibatch 2 / 391, loss: 3.20, 				 Avg Accumulated loss: 2.83, 				 Precision: 10.94
	 Minibatch 3 / 391, loss: 4.53, 				 Avg Accumulated loss: 3.39, 				 Precision: 7.81
	 Minibatch 4 / 391, loss: 4.84, 				 Avg Accumulated loss: 3.75, 				 Precision: 17.97
	 Minibatch 5 / 391, loss: 4.83, 				 Avg Accumulated loss: 3.97, 				 Precision: 5.47
	 Minibatch 6 / 391, loss: 4.83, 				 Avg Accumulated loss: 4.11, 				 Precision: 6.25
	 Minibatch 7 / 391, loss: 3.70, 				 Avg Accumulated loss: 4.05, 				 Precision: 20.31
	 Minibatch 8 / 391, loss: 4.40, 				 Avg Accumulated loss: 4.10, 				 Precision: 15.62
	 Minibatch 9 / 391, loss: 3.59, 				 Avg Accumulated loss: 4.04, 				 Precision: 8.59
	 Minibatch 10 / 391, loss: 3.23, 				 Avg Accumulated loss: 3.96, 				 Precision: 12.50
	 Minibatch 11 / 391, loss: 3.08, 				 Avg Accumulated loss: 3.88, 				 Precision: 11.72
	 Minibatch 12 / 391, loss: 2.58, 				 Avg Accumulated loss: 3.77, 				 Precision: 14.06
	 Minibatch 13 / 391, loss: 3.23, 				 Avg Accumulated loss: 3.73, 				 Precision: 10.94
	 Minibatch 14 / 391, loss: 2.31, 				 Avg Accumulated loss: 3.63, 				 Precision: 14.06
	 Minibatch 15 / 391, loss: 2.13, 				 Avg Accumulated loss: 3.53, 				 Precision: 20.31
	 Minibatch 16 / 391, loss: 3.00, 				 Avg Accumulated loss: 3.50, 				 Precision: 15.62
	 Minibatch 17 / 391, loss: 2.30, 				 Avg Accumulated loss: 3.42, 				 Precision: 27.34
	 Minibatch 18 / 391, loss: 2.43, 				 Avg Accumulated loss: 3.37, 				 Precision: 13.28
	 Minibatch 19 / 391, loss: 2.63, 				 Avg Accumulated loss: 3.33, 				 Precision: 15.62
	 Minibatch 20 / 391, loss: 2.69, 				 Avg Accumulated loss: 3.30, 				 Precision: 19.53
	 Minibatch 21 / 391, loss: 2.27, 				 Avg Accumulated loss: 3.25, 				 Precision: 15.62
	 Minibatch 22 / 391, loss: 2.43, 				 Avg Accumulated loss: 3.21, 				 Precision: 15.62
	 Minibatch 23 / 391, loss: 2.12, 				 Avg Accumulated loss: 3.17, 				 Precision: 21.09
	 Minibatch 24 / 391, loss: 2.45, 				 Avg Accumulated loss: 3.14, 				 Precision: 14.84
	 Minibatch 25 / 391, loss: 2.33, 				 Avg Accumulated loss: 3.10, 				 Precision: 17.97
	 Minibatch 26 / 391, loss: 2.55, 				 Avg Accumulated loss: 3.08, 				 Precision: 10.94
	 Minibatch 27 / 391, loss: 2.20, 				 Avg Accumulated loss: 3.05, 				 Precision: 20.31
	 Minibatch 28 / 391, loss: 2.19, 				 Avg Accumulated loss: 3.02, 				 Precision: 21.88
	 Minibatch 29 / 391, loss: 2.11, 				 Avg Accumulated loss: 2.99, 				 Precision: 14.06
	 Minibatch 30 / 391, loss: 2.07, 				 Avg Accumulated loss: 2.96, 				 Precision: 21.09
	 Minibatch 31 / 391, loss: 2.27, 				 Avg Accumulated loss: 2.93, 				 Precision: 15.62
	 Minibatch 32 / 391, loss: 2.16, 				 Avg Accumulated loss: 2.91, 				 Precision: 13.28
	 Minibatch 33 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.88, 				 Precision: 19.53
	 Minibatch 34 / 391, loss: 1.98, 				 Avg Accumulated loss: 2.86, 				 Precision: 24.22
	 Minibatch 35 / 391, loss: 2.07, 				 Avg Accumulated loss: 2.84, 				 Precision: 24.22
	 Minibatch 36 / 391, loss: 2.11, 				 Avg Accumulated loss: 2.82, 				 Precision: 19.53
	 Minibatch 37 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.80, 				 Precision: 14.84
	 Minibatch 38 / 391, loss: 2.05, 				 Avg Accumulated loss: 2.78, 				 Precision: 21.88
	 Minibatch 39 / 391, loss: 2.21, 				 Avg Accumulated loss: 2.76, 				 Precision: 20.31
	 Minibatch 40 / 391, loss: 2.06, 				 Avg Accumulated loss: 2.74, 				 Precision: 25.78
	 Minibatch 41 / 391, loss: 1.97, 				 Avg Accumulated loss: 2.72, 				 Precision: 21.09
	 Minibatch 42 / 391, loss: 2.05, 				 Avg Accumulated loss: 2.71, 				 Precision: 25.78
	 Minibatch 43 / 391, loss: 2.15, 				 Avg Accumulated loss: 2.70, 				 Precision: 19.53
	 Minibatch 44 / 391, loss: 2.08, 				 Avg Accumulated loss: 2.68, 				 Precision: 18.75
	 Minibatch 45 / 391, loss: 2.09, 				 Avg Accumulated loss: 2.67, 				 Precision: 17.19
