model name	: Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz
Sun Oct 27 14:28:42 2019       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.74       Driver Version: 418.74       CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  TITAN Xp            On   | 00000000:02:00.0 Off |                  N/A |
| 29%   45C    P2    60W / 250W |    682MiB / 12196MiB |      5%      Default |
+-------------------------------+----------------------+----------------------+
|   1  TITAN Xp            On   | 00000000:84:00.0 Off |                  N/A |
| 23%   27C    P8     9W / 250W |      1MiB / 12196MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     28655      C   python3                                      671MiB |
+-----------------------------------------------------------------------------+
Files already downloaded and verified
Files already downloaded and verified
Epoch 0
	 Minibatch 1 / 391, loss: 2.31, 				 Avg Accumulated loss: 2.31, 				 Precision: 4.69
	 Minibatch 2 / 391, loss: 2.30, 				 Avg Accumulated loss: 2.30, 				 Precision: 8.59
	 Minibatch 3 / 391, loss: 2.30, 				 Avg Accumulated loss: 2.30, 				 Precision: 9.38
	 Minibatch 4 / 391, loss: 2.30, 				 Avg Accumulated loss: 2.30, 				 Precision: 13.28
	 Minibatch 5 / 391, loss: 2.31, 				 Avg Accumulated loss: 2.30, 				 Precision: 11.72
	 Minibatch 6 / 391, loss: 2.30, 				 Avg Accumulated loss: 2.30, 				 Precision: 8.59
	 Minibatch 7 / 391, loss: 2.30, 				 Avg Accumulated loss: 2.30, 				 Precision: 10.16
	 Minibatch 8 / 391, loss: 2.30, 				 Avg Accumulated loss: 2.30, 				 Precision: 12.50
	 Minibatch 9 / 391, loss: 2.29, 				 Avg Accumulated loss: 2.30, 				 Precision: 10.94
	 Minibatch 10 / 391, loss: 2.28, 				 Avg Accumulated loss: 2.30, 				 Precision: 9.38
	 Minibatch 11 / 391, loss: 2.30, 				 Avg Accumulated loss: 2.30, 				 Precision: 9.38
	 Minibatch 12 / 391, loss: 2.30, 				 Avg Accumulated loss: 2.30, 				 Precision: 14.06
	 Minibatch 13 / 391, loss: 2.29, 				 Avg Accumulated loss: 2.30, 				 Precision: 13.28
	 Minibatch 14 / 391, loss: 2.28, 				 Avg Accumulated loss: 2.30, 				 Precision: 10.16
	 Minibatch 15 / 391, loss: 2.29, 				 Avg Accumulated loss: 2.30, 				 Precision: 10.94
	 Minibatch 16 / 391, loss: 2.33, 				 Avg Accumulated loss: 2.30, 				 Precision: 13.28
